Date,Adj Close,Close,High,Low,Open,Volume,Return_1D,Return_8D,ADX_20,RSI_20,Stochastic_14_3,CCI_20,Volatility_10D,Label
2017-01-27,4839.97998046875,4839.97998046875,4867.31005859375,4829.7001953125,4867.31005859375,79429000,-0.005600761950011024,-0.004055806270594431,0.0,42.90807987524722,49.311488644510064,-87.02906975423852,0.005216474023406544,0
2017-01-30,4784.64013671875,4784.64013671875,4830.68994140625,4771.97998046875,4823.5,83384600,-0.011433899308120776,-0.01416733980478202,0.0,34.65568699826552,31.334557800087676,-193.2185614462392,0.005741124824018083,0
2017-01-31,4748.89990234375,4748.89990234375,4812.5498046875,4748.89990234375,4790.27978515625,98487800,-0.0074697852615327465,-0.019053411339073345,0.0,30.64844865737514,13.391586225181017,-210.83131852512062,0.0059529821727825165,0
2017-02-01,4794.580078125,4794.580078125,4823.81005859375,4782.60986328125,4786.85009765625,97905700,0.009619106892251983,-0.01156331901642127,0.0,39.98482786082974,11.432730610224334,-122.90969427186279,0.007053870165102366,0
2017-02-02,4794.2900390625,4794.2900390625,4812.31005859375,4774.18017578125,4785.14013671875,98607300,-6.049311050682071e-05,-0.005624934678569948,0.0,39.9488833921787,17.978655363833848,-121.25629444109298,0.007045308553396438,0
2017-02-03,4825.419921875,4825.419921875,4847.47021484375,4803.91015625,4808.4599609375,80815700,0.006493116302698221,-0.0009544171539929147,0.0,45.485520915382224,34.740623079132924,-49.27321397793956,0.007390379551568427,0
2017-02-06,4778.080078125,4778.080078125,4841.169921875,4773.35009765625,4829.68017578125,76878800,-0.009810512767064017,-0.020417503714912577,0.0,39.63576226349462,32.46534024368041,-97.2568587026966,0.0077905524092537004,0
2017-02-07,4754.47021484375,4754.47021484375,4787.93994140625,4750.02978515625,4762.169921875,83945400,-0.004941286645517073,-0.02316919118452565,0.0,37.128957140553396,24.374179084682094,-143.12705399313248,0.007825528717832346,0
2017-02-08,4766.60009765625,4766.60009765625,4790.2900390625,4733.81982421875,4768.0,102120800,0.0025512585555020895,-0.01516119552324946,0.0,39.208258655835586,14.145399897036228,-127.59693456555988,0.006931329378008896,0
2017-02-09,4826.240234375,4826.240234375,4831.31005859375,4769.85986328125,4793.009765625,100798200,0.012512091532091318,0.008694509193491573,0.0,48.09311120301192,26.172997605434432,-37.74541421107373,0.008364526200306515,1
2017-02-10,4828.31982421875,4828.31982421875,4845.4501953125,4815.669921875,4842.91015625,122653200,0.0004308923184010993,0.01672385678961219,0.0,48.37007473537079,43.78688262954659,11.124479499748093,0.00819679934073193,1
2017-02-13,4888.18994140625,4888.18994140625,4906.7099609375,4841.60009765625,4844.22021484375,102000800,0.012399782816207239,0.019524100495962093,0.0,55.556524861192905,67.0163553535726,121.27276159475169,0.008034365634207034,1
2017-02-14,4895.81982421875,4895.81982421875,4897.89013671875,4878.7900390625,4887.22998046875,95785900,0.0015608810017526675,0.02117723048230591,0.0,56.3711739958124,79.83044970105836,139.1430401228885,0.007304533582065229,1
2017-02-15,4924.85986328125,4924.85986328125,4932.35009765625,4902.16015625,4910.56982421875,96447600,0.005931598813919692,0.02060752079947714,0.0,59.355972703702136,93.07208817653219,174.75996494934702,0.007025228466556473,0
2017-02-16,4899.4599609375,4899.4599609375,4928.25,4890.47998046875,4925.5400390625,91475500,-0.0051574873293607215,0.025403484417978017,0.0,55.838836957352825,91.12048966618943,129.66408463994108,0.0074220018256213535,0
2017-02-17,4867.580078125,4867.580078125,4903.16015625,4843.009765625,4896.97021484375,102966800,-0.0065068156626796325,0.023790213876640598,0.0,51.78479681381178,82.34519622551792,64.161582514227,0.00771849034275471,0
2017-02-20,4864.990234375,4864.990234375,4901.41015625,4856.1201171875,4894.25,68415900,-0.000532059813795116,0.020641575693989722,0.0,51.46527594528086,72.29305524812055,61.93400446580961,0.006790168585306944,1
2017-02-21,4888.759765625,4888.759765625,4900.3798828125,4849.91015625,4865.89013671875,83739300,0.004885833291514041,0.01295408604086945,0.0,54.195679526737436,70.49648704263917,63.851457047625054,0.0064021575430402485,1
2017-02-22,4895.8798828125,4895.8798828125,4922.64013671875,4866.1201171875,4899.64990234375,99237500,0.0014564260730429712,0.013992457221841503,0.0,54.99401869034919,75.24803856464744,83.6582125825671,0.006416373843724601,0
