Date,Adj Close,Close,High,Low,Open,Volume
2017-01-02,4882.3798828125,4882.3798828125,4896.009765625,4843.93017578125,4845.9599609375,34310400
2017-01-03,4899.330078125,4899.330078125,4929.60009765625,4896.10986328125,4904.77001953125,82609500
2017-01-04,4899.39990234375,4899.39990234375,4913.93994140625,4879.22998046875,4912.9501953125,77276800
2017-01-05,4900.64013671875,4900.64013671875,4905.83984375,4874.7900390625,4881.72021484375,88092000
2017-01-06,4909.83984375,4909.83984375,4911.490234375,4874.419921875,4885.18994140625,73709000
2017-01-09,4887.56982421875,4887.56982421875,4915.60009765625,4867.830078125,4915.35009765625,72709600
2017-01-10,4888.22998046875,4888.22998046875,4906.14990234375,4868.5,4894.4501953125,92809300
2017-01-11,4888.7099609375,4888.7099609375,4916.47998046875,4856.5,4890.0400390625,99652700
2017-01-12,4863.97021484375,4863.97021484375,4889.2099609375,4857.43994140625,4873.009765625,99417200
2017-01-13,4922.490234375,4922.490234375,4924.580078125,4883.06005859375,4889.4501953125,106285900
2017-01-16,4882.18017578125,4882.18017578125,4911.39013671875,4879.7998046875,4883.43017578125,71928500
2017-01-17,4859.68994140625,4859.68994140625,4889.16015625,4841.68017578125,4865.18994140625,87737000
2017-01-18,4853.39990234375,4853.39990234375,4875.740234375,4827.10986328125,4874.31005859375,88911500
2017-01-19,4841.14013671875,4841.14013671875,4867.580078125,4829.81982421875,4859.759765625,95638900
2017-01-20,4850.669921875,4850.669921875,4869.3798828125,4818.8798828125,4834.2998046875,117756800
2017-01-23,4821.41015625,4821.41015625,4842.97021484375,4800.39013671875,4816.97998046875,78546600
2017-01-24,4830.02978515625,4830.02978515625,4840.5,4816.72998046875,4831.9501953125,87954000
2017-01-25,4877.669921875,4877.669921875,4890.16015625,4854.5498046875,4865.08984375,114294300
2017-01-26,4867.240234375,4867.240234375,4901.06982421875,4855.759765625,4891.85986328125,94017900
2017-01-27,4839.97998046875,4839.97998046875,4867.31005859375,4829.7001953125,4867.31005859375,79429000
2017-01-30,4784.64013671875,4784.64013671875,4830.68994140625,4771.97998046875,4823.5,83384600
2017-01-31,4748.89990234375,4748.89990234375,4812.5498046875,4748.89990234375,4790.27978515625,98487800
2017-02-01,4794.580078125,4794.580078125,4823.81005859375,4782.60986328125,4786.85009765625,97905700
